"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 249 0 1 0 0 0 0 0 0 0 2 0 3 5 0 11 1 12 6 39
"2" 0 286 33 11 17 54 7 3 1 0 0 3 20 7 8 2 1 1 1 3
"3" 0 13 204 30 13 16 5 1 0 0 1 0 4 0 0 0 0 0 0 0
"4" 0 14 57 277 30 6 32 2 1 1 0 3 25 3 1 0 0 1 0 0
"5" 0 9 19 20 269 3 16 0 0 1 0 4 7 0 0 0 0 0 1 0
"6" 1 22 21 1 0 285 1 0 0 0 0 1 4 0 3 2 1 0 1 0
"7" 0 4 4 10 12 1 270 14 2 2 2 0 8 3 1 1 1 1 0 0
"8" 0 1 2 2 2 1 17 331 27 1 1 0 11 5 0 0 2 2 0 0
"9" 1 1 3 1 2 3 8 17 360 2 2 0 6 4 1 0 1 0 0 1
"10" 0 0 0 0 0 0 1 0 0 352 4 1 0 1 0 0 1 2 0 1
"11" 0 1 0 1 0 0 2 0 0 17 383 1 0 0 1 0 0 0 0 0
"12" 2 11 12 4 3 5 0 1 0 0 0 362 21 1 4 0 4 2 5 1
"13" 0 8 5 32 21 3 7 13 3 1 0 2 264 8 6 0 0 1 0 0
"14" 3 6 10 1 8 6 4 0 1 3 0 2 9 320 5 2 5 0 10 2
"15" 3 10 8 2 4 4 6 4 0 3 0 2 7 8 343 0 2 0 6 6
"16" 24 1 3 0 0 0 0 2 0 5 1 0 1 7 3 362 1 6 2 27
"17" 2 2 1 0 1 1 2 0 1 2 2 9 3 6 2 0 303 3 63 10
"18" 3 0 0 0 0 1 1 0 1 1 0 0 0 5 1 1 5 326 6 3
"19" 4 0 5 0 1 1 2 6 0 5 1 5 0 8 12 2 23 18 196 7
"20" 26 0 3 0 0 0 1 1 0 1 0 0 0 2 1 15 13 1 13 151
